"","brewery_name","brewery_avg","brewery_min","brewery_max","total"
"1","Schorschbräu",19.23,4.9,57.7,34
"2","Shoes Brewery",15.2,15.2,15.2,2
"3","Rome Brewing Company",13.84,12.4,16,9
"4","Hurlimann Brewery",13.75,12.5,14,19
"5","Alt-Oberurseler Brauhaus",13.2,13.2,13.2,3
"6","Rascal Creek Brewing Co.",13,13,13,1
"7","Monks Porter House",12.47,10.3,16.1,3
"8","Brasserie Grain d' Orge (Brasserie Jeanne d'Arc SA)",12.45,4.5,13,316
"9","Tugboat Brewing Company",12.19,6.5,13,24
"10","Morgan Street Brewery",12,12,12,103
"11","Rinkuki&#371; Aluas Darykla",12,12,12,11
"12","Snowy Mountain Brewery",12,11.5,12.5,4
"13","United Brands Company",12,12,12,26
"14","Brauerei Schloss Eggenberg",11.78,4.8,14,1821
"15","Etna Brewery",11.75,11,12,29
"16","Nasu Kogen Beer Co. Ltd.",11.5,11,12,2
"17","Brasserie Dubuisson Frères sprl",11.43,7,13,1078
"18","Kuhnhenn Brewing Company",11.35,3.25,18,2943
"19","Main Street Brewery  / Turoni's Pizza",11.25,9,11.7,32
"20","Slippery Pig Brewing",11,11,11,2
"21","Water Street Brewing & Ale House",11,11,11,36
"22","Wibblers",11,11,11,1
"23","Zago S.r.l.",11,11,11,1
"24","Brouwerij De Landtsheer NV",10.94,5.3,12,578
"25","Stadsbrouwerij De Hemel",10.91,5,12,72
"26","J.W. Lees & Co (Brewers) Ltd",10.86,3.5,11.5,1677
"27","Valkyrie Brewing",10.86,5.5,12,584
"28","Dusters Restaurant and The Gottberg Brew Pub",10.8,10.8,10.8,19
"29","De Struise Brouwers",10.76,2,39,3866
"30","Søkildegaard",10.55,10.5,10.6,2
"31","Brauerei Schäffler",10.5,10.5,10.5,2
"32","Brouwerij De Drie Kruizen",10.5,10.5,10.5,23
"33","Yak and Yeti",10.5,10,11,14
"34","Haerlemsche Bierbrouwerij B.V.",10.43,9.3,11,3
"35","Voodoo Brewing Company",10.35,6.7,15,1285
"36","Vetter Alt Heidelberger Brauhaus Neuenheim",10.34,4.5,13.2,24
"37","Brouwerij De Dolle Brouwers",10.28,5.8,13,2617
"38","Sherbrooke Liquor Store",10.21,6.5,18.5,54
"39","Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",10.2,5,15,31
"40","WoodVille Brewing Co.",10.2,10.2,10.2,39
"41","Old Chimneys Brewery",10.12,4.3,11,22
"42","Dansk Mjød A/S",10.1,10.1,10.1,18
"43","Revelation Cat Craft Brewing",10.1,3.5,11,57
"44","Brouwerij 't Gaverhopke",10.06,5.5,12,144
"45","Boston Breweries",10,10,10,3
"46","Brasserie La Rochefortoise",10,10,10,2
"47","Copper Mountain Beverage Company",10,10,10,20
"48","Crest Brewing Company",10,10,10,22
"49","Elveden Ales",10,10,10,1
"50","Hakodate Beer",10,10,10,1
"51","Kysela Pere Et Fils, Ltd.",10,10,10,36
"52","Olvalde Farm & Brewing Company",10,10,10,50
"53","Whistle Stop Restaurant & Woodman Brewery",10,10,10,16
"54","Brasserie de Rochefort",9.93,7.5,11.3,4494
"55","BrewDog",9.91,0.5,41,4033
"56","Brass Monkey Brewing Co.",9.9,9.9,9.9,10
"57","Privatbrauerei Christian Fiedler",9.87,6.1,10.5,9
"58","Armadillo Ale Works",9.8,9.8,9.8,2
"59","Charlie & Jake's Brewery & Grille",9.8,6.2,15,54
"60","Edsten Brewing Company",9.75,9.5,10,2
"61","LagerHaus Grill & Brewery",9.75,4.6,22,17
"62","Bierbrouwerij Grand-Café  Emelisse",9.74,5,11.5,260
"63","Central Coast Brewing",9.7,6,12.5,39
"64","Sandbacka Bryggeri",9.7,4.7,12.2,3
"65","Wiibroes Bryggeri",9.7,8.2,10.6,16
"66","Big Rock Chop & Brewhouse",9.69,4,13,113
"67","Restaurante Bar Rámuri",9.65,9.3,10,2
"68","Brouwerij Het Alternatief",9.6,9,11,90
"69","Brouwerij De Molen",9.55,3.5,17.4,1033
