"","brewery_name","brewery_avg","total"
"1","",6.12,15
"2","'t Hofbrouwerijke",6.78918918918919,37
"3","(512) Brewing Company",NA,304
"4","10 Barrel Brewing Co.",NA,84
"5","1516 Brewing Company",NA,34
"6","16 Mile Brewing Company",6.03369565217391,92
"7","1648 Brewing Company Ltd",3.7,1
"8","1702 / The Address Brewing Co.",6.8,1
"9","192 Brewing Company",NA,3
"10","1st City Brewery and Grill",NA,15
"11","2 Brothers Brewery",6.17254901960784,51
"12","21st Amendment Brewery",NA,2978
"13","23rd Street Brewery",NA,43
"14","2nd Shift Brewery",NA,22
"15","3 Cordilleras",NA,1
"16","3 Ravens Brewing",NA,121
"17","3 Stars Brewing Company",7,3
"18","32 Via Dei Birrai",6.77692307692308,13
"19","4 Hands Brewing Co.",6,4
"20","4 Pines Brewing Company",NA,59
"21","4Seasons Sports Bar & Brew Pub",5,3
"22","4th Street Brewing Co.",NA,31
"23","4th Street Brewing Company",NA,6
"24","5 Points Brewing Company",NA,2
"25","5 Rabbit Cerveceria",5.50384615384615,26
"26","50 Back Brewing Company",4.9,10
"27","508 Gastrobrewery",7.71666666666667,6
"28","5280 Roadhouse and Brewery",5.425,4
"29","7 Kron",NA,2
"30","7 Seas Brewery and Taproom",NA,44
"31","75th Street Brewery",NA,108
"32","7venth (Seventh) Sun Brewery",8.3,2
"33","8 Wired Brewing Co.",7.55155279503106,161
"34","961 Beer",6.35,18
"35","À l’abri de la Tempête",NA,130
"36","À La Fût",NA,29
"37","A Tribbiera",6.4,5
"38","A.J.I. Beer Inc",NA,50
"39","A1A Aleworks",NA,35
"40","Aarhus Bryghus",7,2
"41","Aass Brewery",5.96181818181818,110
"42","AB Group, Ltd.",NA,9
"43","Abashiri, K.K.",5,12
"44","Abbaye de Leffe S.A.",6.87760617760618,1813
"45","Abbaye Mont Des Cats",7.6,7
"46","Abbey Ales Limited",4.5125,8
"47","Abbey Bells Brewery",4.5,1
"48","Abbey Beverage Company",5.1,52
"49","Abbey Beverage Company (Monastery of Christ in the Desert)",NA,16
"50","Abbey Brewing Co.",NA,37
"51","Abbey Wright Brewing Co.",NA,24
"52","Abbeydale Brewery",5.24,10
"53","Aberdeen Brewing Company",4.2,1
"54","Abita Brewing Co.",NA,5357
"55","Åbro Bryggeri",5.23809523809524,84
"56","Abteibrauerei Siegburger Brauhaus - FritzAle",8.5,1
"57","Abula Alus Dar&#299;tava",NA,3
"58","AC Golden Brewing Company",NA,74
"59","Academy of Fine Beers",NA,31
"60","Acadie-Broue",7,2
"61","Accra Brewery Limited",5.1,7
"62","Acorn Brewery Of Barnsley",4.6,22
"63","Adelbert's Brewery",6.65,4
"64","Adirondack Pub & Brewery",NA,76
"65","Adnams plc, Sole Bay Brewery",5.3713298791019,579
"66","Ægir Bryggeri",6.125,20
"67","Afanasy Pivo (Brau Service)",NA,41
"68","Against The Grain Brewery & Smokehouse",7.7,4
"69","Agassiz Brewing Co.",5,6
"70","Ahlafors Bryggerier AB",7.35714285714286,7
"71","Ahornberger Landbrauerei",NA,23
"72","Aiken Brewing Company",NA,56
"73","Airbräu München",NA,5
"74","Airdale Brewing Company",NA,27
"75","Airways Brewing Company",NA,19
"76","Ajeper S.A.",5,1
"77","Akashi Brewery K.K.",NA,4
"78","Aksarben Brewing Co.",5.11111111111111,9
"79","Aktien-Brauerei Kaufbeuren AG",NA,370
"80","Aktienbrauerei Flims Surselva AG",4.9,1
"81","Aktienbrauerei Simmerberg AG",4.9,3
"82","Akuna Brewery",4.2,1
"83","Al Ahram Beverages Company",4.964,50
"84","Al's of Hampden / Pizza Boy Brewing",6.37,20
"85","Alameda Brewhouse",NA,213
"86","Alamo Beer Co.",5.3,42
"87","Alandale Brewing Company",NA,49
"88","Alaskan Brewing Co.",NA,3234
"89","Alaus Darykla Kalnapilis",5.7904347826087,115
"90","Albani Bryggerierne (Royal Unibrew)",6.45714285714286,21
"91","Alcatraz Brewing Co.",NA,117
"92","Alcazar Brewing Co.",6.58333333333333,6
"93","Aldaris",6.14273858921162,241
"94","ALDI Stores Australia",5,1
"95","Ale Asylum",NA,813
"96","Ale House",NA,1
"97","Ale Industries",NA,42
"98","Ales Of Scilly Brewery",5.5,1
"99","AleSmith Brewing Company",NA,6313
"100","Alexander Keith's",5.0417348608838,611
"101","Alfa Bierbrouwerij B.V.",NA,50
"102","Alina S.R.L.",6.9,10
"103","All Stars Bakery",0.5,26
"104","All-American Grill & Brewhouse",NA,2
"105","Allagash Brewing Company",NA,7321
"106","Allendale Brew Company Limited",4.33333333333333,3
"107","Allentown Brew Works",NA,347
"108","Alley Kat Brewing Company",NA,614
"109","Allgates Brewery",4.6375,8
"110","Allgäuer Brauhaus AG",NA,560
"111","Alligator Brewing Company",NA,1
"112","Alltech’s Lexington Brewing and Distilling Co.",NA,493
"113","Almanac Beer Co.",7.81034482758621,58
"114","Almond '22",NA,35
"115","Alpine Beer Company",NA,2947
"116","Alpine Brewing Company",NA,36
"117","Alpirsbacher Klosterbräu",5.65416666666667,24
"118","Alt Platz Brewing Company LLC",NA,5
"119","Alt-Oberurseler Brauhaus",NA,3
"120","Alte Klosterbrauerei Vierzehnheiligen Brauerei Trunk",5.1,4
"121","Altenburger Brauerei GmbH",5.5,3
"122","Alter Bahnhof Malsch",NA,3
"123","Altes Tramdepot",NA,10
"124","Altitude Chophouse & Brewery",NA,13
"125","Altöttinger Hell-Bräu GmbH",5.2625,8
"126","Altstadthotel & Restaurant Zieglerbräu",NA,2
"127","Amadeus Hausbräu",NA,2
"128","Amager Bryghus",9.058611898017,353
"129","Amarcord Birra Artigianale Italiana",7.08429752066116,121
"130","AMB - Maître Brasseur",6.50127659574468,329
"131","Ambacht Brewing",6.55789473684211,19
"132","Ambassador Brewing Company",6.2,1
"133","Amber Ales Limited",4.05,2
"134","Amber's Brewing Co.",NA,74
"135","AmBev CentroAmerica",5,2
"136","America's Brewpub",NA,161
"137","American Brewing Company",NA,23
"138","American Honor Beer Company",NA,7
"139","Amerisports Brew Pub",NA,11
"140","Amherst Brewing Co.",NA,195
"141","Amicas",NA,24
"142","Amnesia Brewing",NA,74
"143","Amos Howard's Brew Pub",NA,144
"144","Amstar",NA,8
"145","Amstel Brouwerij B. V.",NA,570
"146","Amsterdam Brewing Company",NA,388
"147","Amundsen Bryggeri & Spiseri",NA,3
"148","An Teallach Ale Co.",4.58333333333333,6
"149","Anacapa Brewing Company",NA,32
"150","Anacortes Brewery & Rockfish Grill",NA,107
"151","Anadolu Efes Brewery",NA,389
"152","Anaheim Brewery",NA,15
"153","Anchor Brewing Company",NA,10062
"154","Anchorage Brewing Company",7.98669201520913,263
"155","Ancient Lakes Brewing Company",5.8,1
"156","Anderson Valley Brewing Company",NA,5059
"157","Andrew's Brewing Co.",NA,104
"158","Andwell Brewing Company",4.2,1
"159","Angara Restaurant And Brewery",NA,4
"160","Angel City Brewing",NA,149
"161","Anglo Dutch Brewery",5.33333333333333,6
"162","Ängö Kvartersbryggeri",5.855,20
"163","Angry Cedar Brewing Company",4.5,5
"164","Angry Hank's Microbrewery",NA,3
"165","Angry Minnow Brewpub",NA,44
"166","Anheuser-Busch",NA,15815
"167","Ankerbräu Nördlingen",5.18421052631579,19
"168","Ankerbrauerei Nagold GmbH",6.5,1
"169","Antarctica (Companhia Brasileira De Bebidas)",NA,81
"170","Antares",8.13571428571429,70
"171","Antigua Brewery Ltd.",4.8,9
"172","Anxanum Brewing Company",5.5,3
"173","AO Susyndar",4.5,1
"174","Aotearoa Breweries NZ Ltd.",NA,8
"175","Apatinska Pivara A.D.",5.08372093023256,43
"176","Apex Brewing Company",NA,4
"177","Appalachian Brewing Company",NA,1072
"178","Apu Brewery",5.275,4
"179","Árainn Mhór Brewing Company",5.4,6
"180","Arbor Ales",NA,2
"181","Arbor Brewing Company",NA,850
"182","Arcadia Brewing Company",NA,3652
"183","Arcense Stoombierbouwerij (Hertog Jan Brouwerij)",NA,100
"184","Archers Brewing & Wholesale Limited",NA,18
"185","Archipelago Brewing Company / Craft Beer Hub",NA,13
"186","Arcobräu Gräfliches Brauhaus",NA,81
"187","Arctic Craft Brewery",NA,46
"188","Arctic Fox Brewing",NA,14
"189","Argus Brewery",5.35666666666667,42
"190","Ariana Brewery",4.64285714285714,7
"191","Arkell's Brewery Limited",4.8,7
"192","Armadillo Ale Works",NA,2
"193","Arriba Mexican Grill & Casa Arriba Brewing Company",NA,1
"194","Arrow Brewing Company & Oak bar",8.5,1
"195","Arsentich",NA,4
"196","Art Cervesers - Cervesa Artesanal",7.05,2
"197","Artebirraia",5.1,3
